id,title,genre,cast,overview,tag,language,rating,link,
235,Avengers: Age Of Ultron,"Action, Adventure, Scifi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",english marvel action adventure scifi robertdowney chrisevans markruffalo chrishemsworth brucebanner tonystark ultron earth superhero villain plan,English,7.3,https://www.hotstar.com/in/movies/marvels-avengers-age-of-ultron/1260018315?utm_source=gwa,
236,Avengers: Infinity War,"Action, Adventure, Scifi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,english marvel action adventure scifi robertdowney chrisevans markruffalo chrishemsworth avenger defeat power universe infinity,English,8.5,https://www.hotstar.com/in/movies/avengers-infinity-war/1660010677?utm_source=gwa,
237,Avengers: Endgame,"Action, Adventure, Scifi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",english marvel action adventure scifi robertdowney chrisevans markruffalo chrishemsworth avenger war universe action infinity,English,8.8,https://www.hotstar.com/in/movies/avengers-endgame/1260013556?utm_source=gwa,
238,Spider-Man: Homecoming,"Action, Adventure, Scifi,Kids","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",english marvel action adventure scifi spiderman tomholland michaelkeaton robertdowney marisatomei peterparker school superhero newyork,English,7.5,https://www.netflix.com/in/title/80166369?source=35,
239,Spider-Man: Far from Home,"Action, Adventure, Scifi,Kids","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal","Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.",english marvel action adventure scifi spiderman tomholland samuelljackson jakegyllenhaal avenger superhero world,English,7.5,https://www.netflix.com/in/title/81055822?source=35,
144,Ella Enchanted,"Comedy,Fantasy,Kids",Anne Hathaway,"Fairy Lucinda puts baby Ella under the spell of obeying anyone. Life becomes awful for her due to her unwise father, cruel stepmother and stepsisters. Ella and Prince Charmont try to break the spell.",english adl family lifelessons uplifting comedy fantasy annehathaway bond queen princess,English,6.3,https://www.netflix.com/jp-en/title/60034553,
145,Home Alone ,"Family, Comedy ",Macaulay Culkin,"Eight-year-old Kevin is accidentally left behind when his family leaves for France. At first, he's happy to be in charge; but when thieves try to break into his home, he puts up a fight like no other.",english kids christmas holiday family kevin trip comedy home alone adventures,English,7.7,https://www.netflix.com/ca/title/596974,
146,Home Alone 2: Lost in New York,"Family, Comedy ",Macaulay Culkin,"Kevin accidentally boards a flight to New York City and gets separated from his family who are on their way to Miami. He then bumps into two of his old enemies, who plan to rob a toy store.",english kids christmas holiday family kevin trip comedy  fight enemy toys adventures,English,6.9,https://www.netflix.com/at-en/title/596983,
147,Home Alone 3,"Family, Comedy ",Alex Pruitt,"Eight-year-old Alex fends off thieves who are trying to acquire a top-secret computer chip that they have hidden in his toy car, with which they intend to help a terrorist group.",english kids christmas holiday family kevin trip comedy  fight thieves computer toys adventures,English,4.6,https://www.hotstar.com/in/movies/home-alone-3/1770001360/watch,
148,Home Alone 4,"Family, Comedy ",Mike Weinberg,"Kevin McCallister sets out on a new adventure to save a royal heir from the clutches of three kidnappers, one of whom he already knows.",english kids christmas holiday family kevin trip comedy  fight adventures,English,2.6,https://www.primevideo.com/detail/Home-Alone-4/0JTDVQC1TUS100MR9T98U22SSQ,
149,Home Alone: The Holiday Heist,"Family, Comedy ",Christian Martyn,"Finn and his sister, Alexis, are paranoid after a friend tells them that their house is haunted. They get a bigger shock when a group of thieves come to steal a painting, while their parents are away.",english kids christmas holiday family kevin trip comedy  fight adventures thieves painting ,English,3.5,https://www.primevideo.com/detail/Home-Alone-The-Holiday-Heist/0I9Z7SQOBSPHISMVVSPUF5DG0J,
150,Inside Out 1,"Family,Comedy,Uplifting,Kids",Director: Pete Docter,"Eleven-year-old Riley has moved to San Francisco, leaving behind her life in Minnesota. She and her five core emotions, Fear, Anger, Joy, Disgust and Sadness, struggle to cope with her new life.",english kids animated inside out1 joy sadness disgust fear anger riley uplifting lifelessons,English,8.6,https://www.hotstar.com/in/movies/inside-out/1260018307/watch,
151,Inside Out 2,"Family,Comedy,Uplifting,Kids",Director: Pete Docter,"Joy, Sadness, Anger, Fear and Disgust have been running a successful operation by all accounts. However, when Anxiety shows up, they aren't sure how to feel.",english kids animated inside out2 joy sadness disgust fear anger riley anxiety lifelessons uplifting,English,7.9,In Theaters,
152,Elemental,"Family,Romance,Comedy,Kids",Director: Peter Sohn,"In a city where fire, water, land, and air residents live together, a fiery young woman and a go-with-the-flow guy discover something elemental: how much they actually have in common.",english kids animated inside lifelessons uplifting adventure comedy feelgood,English,7,https://movies.disney.com/elemental,
153,Zootopia,"Family,Comedy,Kids","Directors: Byron Howard, Rich Moore","When Judy Hopps, a rookie officer in the Zootopia Police Department, sniffs out a sinister plot, she enlists the help of a con artist to solve the case in order to prove her abilities to Chief Bogo.",english animated kids adventure comedy uplifting feelgood food zoo ,English,8.3,https://www.hotstar.com/in/movies/zootopia/1260017510,
